,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
19,19,15,180,0.9133610196190749,0.0,0.0,0.0,0.08465957641601562,1.083162784576416,0.9133610196190749,0.0,0.0,0.0,0.15263938903808594,1.1124911308288574,0.8732636402692253,0.3710865561694291,0.6661157024793388,0.47664104080425784,0.09488606452941895,0.08008742332458496,0.9136474294715738,1.0,0.003305785123966942,0.006589785831960461
20,20,15,190,0.9132367704001148,0.0,0.0,0.0,0.08618831634521484,1.089562177658081,0.9132367704001148,0.0,0.0,0.0,0.1587207317352295,1.112548589706421,0.9132367704001148,0.0,0.0,0.0,0.0899350643157959,0.08303117752075195,0.916104976337301,0.5581395348837209,0.15867768595041323,0.24710424710424714
21,21,15,200,0.9131121642969984,0.0,0.0,0.0,0.09963393211364746,1.085728645324707,0.9131121642969984,0.0,0.0,0.0,0.4204106330871582,1.170807123184204,0.9131121642969984,0.0,0.0,0.0,0.10594749450683594,0.08870124816894531,0.9131121642969984,0.0,0.0,0.0
22,22,15,210,0.9129871997698835,0.0,0.0,0.0,0.09510254859924316,1.093273401260376,0.9129871997698835,0.0,0.0,0.0,0.25739359855651855,1.1140010356903076,0.9129871997698835,0.0,0.0,0.0,0.12236166000366211,0.08162260055541992,0.9129871997698835,0.0,0.0,0.0
23,23,15,220,0.9128618752700561,0.0,0.0,0.0,0.09576845169067383,1.0870134830474854,0.9128618752700561,0.0,0.0,0.0,0.22866415977478027,1.1050326824188232,0.9023476883191703,0.4434108527131783,0.4727272727272727,0.4576,0.13117456436157227,0.08060503005981445,0.9124297853953622,0.4845360824742268,0.07768595041322314,0.13390313390313388
24,24,15,230,0.9127361892398673,0.0,0.0,0.0,0.0972602367401123,1.0885076522827148,0.9127361892398673,0.0,0.0,0.0,0.23343777656555176,1.1058220863342285,0.9127361892398673,0.0,0.0,0.0,0.11857438087463379,0.08007931709289551,0.9166306072407328,0.5560165975103735,0.22148760330578512,0.31678486997635935
25,25,15,240,0.912610140112668,0.0,0.0,0.0,0.09199166297912598,1.085282564163208,0.912610140112668,0.0,0.0,0.0,0.35024499893188477,1.1050031185150146,0.912610140112668,0.0,0.0,0.0,0.12174868583679199,0.07995176315307617,0.912610140112668,0.0,0.0,0.0
26,26,15,250,0.9124837263127441,0.0,0.0,0.0,0.10001134872436523,1.0793254375457764,0.9124837263127441,0.0,0.0,0.0,0.24335336685180664,1.100268840789795,0.9114711413279328,0.4606741573033708,0.06776859504132231,0.11815561959654179,0.1327061653137207,0.07962346076965332,0.9124837263127441,0.0,0.0,0.0
27,27,16,259,0.9125018108068955,0.0,0.0,0.0,0.10377860069274902,1.0743112564086914,0.9125018108068955,0.0,0.0,0.0,0.2401409149169922,1.0956478118896484,0.9125018108068955,0.0,0.0,0.0,0.12664556503295898,0.07911896705627441,0.9113428943937418,0.21428571428571427,0.004966887417218543,0.009708737864077669
28,28,17,268,0.9125199477731032,0.0,0.0,0.0,0.0972588062286377,1.072927474975586,0.9125199477731032,0.0,0.0,0.0,0.27750086784362793,1.0998716354370117,0.9125199477731032,0.0,0.0,0.0,0.14311766624450684,0.07943153381347656,0.9125199477731032,0.0,0.0,0.0
