,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
398,398,368,3617,0.9664891951143125,0.8008298755186722,0.7658730158730159,0.7829614604462474,1.0975234508514404,0.49513769149780273,0.9705606013153774,0.8657407407407407,0.7420634920634921,0.7991452991452992,3.2636895179748535,0.49181509017944336,0.9674287503914814,0.8162393162393162,0.7579365079365079,0.7860082304526749,3.4737114906311035,0.037534236907958984,0.9564672721578453,0.6968641114982579,0.7936507936507936,0.7421150278293136
399,399,370,3625,0.9673264216148287,0.7967479674796748,0.784,0.7903225806451615,1.072331190109253,0.49180054664611816,0.9704681118441721,0.8644859813084113,0.74,0.7974137931034482,4.079241037368774,0.4885129928588867,0.9673264216148287,0.809322033898305,0.764,0.7860082304526749,3.217949390411377,0.037439584732055664,0.9638705623625511,0.7472527472527473,0.816,0.7801147227533461
400,400,372,3633,0.9662779703750394,0.7925311203319502,0.7701612903225806,0.7811860940695297,1.152219533920288,0.49216675758361816,0.9710053577056413,0.8679245283018868,0.7419354838709677,0.8,5.297011375427246,0.48946475982666016,0.9681689253072802,0.7905138339920948,0.8064516129032258,0.7984031936127743,5.408769369125366,0.03704118728637695,0.9574535140245825,0.7325102880658436,0.717741935483871,0.725050916496945
401,401,372,3643,0.9696490673411319,0.8114754098360656,0.7983870967741935,0.8048780487804876,1.0619659423828125,0.4898643493652344,0.9709136895352514,0.8679245283018868,0.7419354838709677,0.8,4.513922929763794,0.4882779121398926,0.9645905785646538,0.765625,0.7903225806451613,0.7777777777777778,3.952225923538208,0.03722667694091797,0.9620613341764148,0.748062015503876,0.7782258064516129,0.7628458498023715
402,402,372,3653,0.9676498572787822,0.7874015748031497,0.8064516129032258,0.796812749003984,1.0676994323730469,0.4921278953552246,0.9708214398985093,0.8679245283018868,0.7419354838709677,0.8,4.794344186782837,0.4863457679748535,0.9651125911830003,0.7716535433070866,0.7903225806451613,0.7808764940239042,4.154276371002197,0.03705596923828125,0.9622581668252458,0.7397769516728625,0.8024193548387096,0.769825918762089
403,403,372,3663,0.9678650970410436,0.7975708502024291,0.7943548387096774,0.7959595959595959,1.160153865814209,0.487429141998291,0.9710467706013363,0.8720379146919431,0.7419354838709677,0.8017429193899783,5.957850694656372,0.4883902072906494,0.9665924276169265,0.7848605577689243,0.7943548387096774,0.7895791583166332,2.779167652130127,0.03677105903625488,0.9630925867006045,0.7444444444444445,0.8104838709677419,0.7760617760617761
404,404,374,3671,0.967762527928503,0.7983539094650206,0.7886178861788617,0.7934560327198363,1.1630959510803223,0.4841806888580322,0.970954356846473,0.8672985781990521,0.7439024390243902,0.8008752735229759,3.9734103679656982,0.4829573631286621,0.963613150335142,0.7661290322580645,0.7723577235772358,0.7692307692307692,11.946999549865723,0.03644871711730957,0.9588254069581871,0.7127272727272728,0.7967479674796748,0.7523992322456814
405,405,375,3680,0.9692603266090298,0.8040816326530612,0.8040816326530612,0.8040816326530612,1.3338725566864014,0.4844672679901123,0.9705411463336535,0.8625592417061612,0.7428571428571429,0.7982456140350878,4.795576810836792,0.4815964698791504,0.9686199167467179,0.7928286852589641,0.8122448979591836,0.8024193548387096,3.048434257507324,0.08834075927734375,0.9644572526416907,0.7537878787878788,0.8122448979591836,0.7819253438113949
406,406,377,3688,0.9675554127850947,0.7909836065573771,0.7942386831275721,0.7926078028747434,1.1070306301116943,0.4863297939300537,0.9707677481529071,0.861904761904762,0.7448559670781894,0.7991169977924946,3.843564748764038,0.4812288284301758,0.966591712174751,0.7836734693877551,0.7901234567901234,0.7868852459016392,4.802752494812012,0.03619194030761719,0.9601670414391262,0.7195571955719557,0.8024691358024691,0.7587548638132297
407,407,378,3697,0.9684176603287141,0.8,0.7933884297520661,0.7966804979253113,1.0776610374450684,0.8383421897888184,0.970673541733806,0.861244019138756,0.743801652892562,0.7982261640798226,3.535154104232788,0.4987471103668213,0.9668063164679342,0.7883817427385892,0.7851239669421488,0.7867494824016562,2.6855692863464355,0.0381014347076416,0.9632613599742185,0.7406015037593985,0.8140495867768595,0.7755905511811024
