,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
25,25,15,240,0.912610140112668,0.0,0.0,0.0,0.09167838096618652,1.1450254917144775,0.912610140112668,0.0,0.0,0.0,0.234877347946167,1.092780351638794,0.912610140112668,0.0,0.0,0.0,0.11663389205932617,0.08041524887084961,0.912610140112668,0.0,0.0,0.0
26,26,15,250,0.9124837263127441,0.0,0.0,0.0,0.09807825088500977,1.0637314319610596,0.9124837263127441,0.0,0.0,0.0,0.23210930824279785,1.087695598602295,0.8758860118617098,0.3753694581280788,0.6297520661157024,0.4703703703703704,0.12208938598632812,0.0798652172088623,0.9124837263127441,0.0,0.0,0.0
27,27,16,259,0.9125018108068955,0.0,0.0,0.0,0.09882998466491699,1.0655252933502197,0.9125018108068955,0.0,0.0,0.0,0.25107598304748535,1.0910189151763916,0.9125018108068955,0.0,0.0,0.0,0.1234433650970459,0.07983827590942383,0.9125018108068955,0.0,0.0,0.0
28,28,17,268,0.9125199477731032,0.0,0.0,0.0,0.09562420845031738,1.0649778842926025,0.9125199477731032,0.0,0.0,0.0,0.23885655403137207,1.0879027843475342,0.9067169592340055,0.3305084745762712,0.06467661691542288,0.10818307905686547,0.1280055046081543,0.07973074913024902,0.9119396489191934,0.25,0.003316749585406302,0.006546644844517185
29,29,17,278,0.9123928519540898,0.0,0.0,0.0,0.1050114631652832,1.0593924522399902,0.9123928519540898,0.0,0.0,0.0,0.24056267738342285,1.085336446762085,0.9123928519540898,0.0,0.0,0.0,0.12965035438537598,0.07964110374450684,0.9123928519540898,0.0,0.0,0.0
30,30,18,287,0.9124108831660119,0.0,0.0,0.0,0.09905481338500977,1.0616021156311035,0.9124108831660119,0.0,0.0,0.0,0.27802014350891113,1.0871696472167969,0.9124108831660119,0.0,0.0,0.0,0.13816022872924805,0.07938003540039062,0.9124108831660119,0.0,0.0,0.0
31,31,18,297,0.9122832580504153,0.0,0.0,0.0,0.13181662559509277,1.058140516281128,0.9122832580504153,0.0,0.0,0.0,0.24560761451721191,1.080671787261963,0.9112632959347224,0.36,0.014950166112956811,0.02870813397129187,0.1370091438293457,0.12915444374084473,0.9122832580504153,0.0,0.0,0.0
32,32,19,306,0.9123011819641033,0.0,0.0,0.0,0.13133621215820312,1.0617668628692627,0.9123011819641033,0.0,0.0,0.0,0.4458470344543457,1.0814940929412842,0.9123011819641033,0.0,0.0,0.0,0.13829517364501953,0.07936811447143555,0.9123011819641033,0.0,0.0,0.0
33,33,20,315,0.9123191582639193,0.0,0.0,0.0,0.10982990264892578,1.0904245376586914,0.9123191582639193,0.0,0.0,0.0,0.4144747257232666,1.0963163375854492,0.9034049393540845,0.32571428571428573,0.095,0.14709677419354839,0.15841007232666016,0.07883810997009277,0.9123191582639193,0.0,0.0,0.0
34,34,21,324,0.9123371871798625,0.0,0.0,0.0,0.12172698974609375,1.0585291385650635,0.9123371871798625,0.0,0.0,0.0,0.28013110160827637,1.0850245952606201,0.9123371871798625,0.0,0.0,0.0,0.15211725234985352,0.07932686805725098,0.9123371871798625,0.0,0.0,0.0
