,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
148,148,351,1134,0.9585455822940453,0.6050955414012739,0.35315985130111527,0.4460093896713615,1.803332805633545,0.06364798545837402,0.9585455822940453,0.6050955414012739,0.35315985130111527,0.4460093896713615
149,149,355,1140,0.9688544782685201,0.8793103448275862,0.3849056603773585,0.5354330708661418,1.5782856941223145,0.06434869766235352,0.9688544782685201,0.8793103448275862,0.3849056603773585,0.5354330708661418
150,150,365,1140,0.9682707562136436,0.8504672897196262,0.3568627450980392,0.5027624309392266,0.7334630489349365,0.0640568733215332,0.9682707562136436,0.8504672897196262,0.3568627450980392,0.5027624309392266
151,151,371,1144,0.9570898816881511,0.6363636363636364,0.05622489959839357,0.10332103321033209,1.4576334953308105,0.06357574462890625,0.9570898816881511,0.6363636363636364,0.05622489959839357,0.10332103321033209
152,152,377,1148,0.970104369361401,0.8854166666666666,0.3497942386831276,0.5014749262536873,1.8805561065673828,0.06337165832519531,0.970104369361401,0.8854166666666666,0.3497942386831276,0.5014749262536873
153,153,385,1150,0.9718234981392876,0.8958333333333334,0.3659574468085106,0.5196374622356495,2.541822671890259,0.06308150291442871,0.9718234981392876,0.8958333333333334,0.3659574468085106,0.5196374622356495
154,154,394,1151,0.9715959524232203,0.9230769230769231,0.3185840707964602,0.4736842105263158,1.126011610031128,0.06280112266540527,0.9715959524232203,0.9230769230769231,0.3185840707964602,0.4736842105263158
155,155,402,1153,0.9726124844389116,0.7711864406779662,0.41743119266055045,0.5416666666666667,1.6785938739776611,0.06325411796569824,0.9726124844389116,0.7711864406779662,0.41743119266055045,0.5416666666666667
156,156,412,1153,0.9730981649741671,0.8701298701298701,0.32211538461538464,0.47017543859649125,1.819464921951294,0.06270599365234375,0.9730981649741671,0.8701298701298701,0.32211538461538464,0.47017543859649125
157,157,421,1154,0.9734071033374978,0.8472222222222222,0.3065326633165829,0.45018450184501846,2.499622344970703,0.06286501884460449,0.9734071033374978,0.8472222222222222,0.3065326633165829,0.45018450184501846
